Survey,Salinity,SM Phyto-plankton taxa,SF Pico-plankton populations,SP Pigments detected by HPLC,CHEMTAX derived taxa,S16S 16S rRNA bands,S18S 18S rRNA bands,Chl c,Per,Fuc,Neo,Pra,Vio,Diadino,All,Lut,Zea,Chl b,Chl a,alpha-Carotene,beta-Carotene,Chla contribution,large cells,pico cells
18/05/1999,4,13,6,13,5,12,32,0.763,0.121,0.224,0.11,0.202,0.128,0.065,0.88,0.048,0,0.855,4.064,0.137,0.289,4.169110347,598.962865,43628.4167
18/05/1999,5.4,17,5,11,4,9,28,2.052,0.98,0.234,0,0,0.228,0.63,1.214,0.042,0,0.046,5.498,0.064,0.181,5.612690203,5439.216232,8641.704738
18/05/1999,8,17,4,12,6,7,31,1.155,0.412,0.852,0.194,0,1,1.102,0.237,0.646,0.382,1.18,8.411,0,0.588,8.548338682,4516.757735,345863.6331
18/05/1999,11,9,4,9,2,4,21,0.058,0,0.283,0.037,0,0,0.156,0,0.14,0.076,0.176,1.714,0,0.117,1.855965273,374.4823026,147920.6541
18/05/1999,15,15,3,5,2,2,12,0.2,0,0.515,0,0,0,0.422,0,0,0,0,2.008,0,0.102,2.181994505,1400.480284,35753.13436
18/05/1999,22.4,6,3,3,1,2,10,0,0,0,0,0,0,0,0,0,0,0,0.531,0.206,0.877,0.706550601,3448.47388,3279.821014
18/05/1999,31.6,4,4,5,3,2,12,0,0,0,0,0,0,0,0,0.219,0.561,0,2.374,1.193,17.38,2.772633864,3714.370236,17003.86117
18/05/1999,37,2,2,6,1,,11,0,0,0,0,0,0,0,0,1.23,6.657,1.805,18.8,15.68,508.5,18.99836062,25079.35127,14694.23476
26/05/1999,4,16,6,12,4,,,0.755,0.087,0.294,0.036,0,0.018,0.078,0.65,0.025,0,0.176,3.22,0.118,0.152,3.147914777,845.7397004,18908.49924
26/05/1999,5.4,13,5,11,4,,,2.719,1.198,0.788,0,0,0.088,1.044,0.865,0.06,0,0.063,7.644,0.119,0.316,7.7457689,1918.071161,13390.6344
26/05/1999,8,17,4,13,6,,,1.33,0.432,0.183,0.202,0,1.258,0.652,1.332,0.664,0.303,1.468,8.595,0.168,0.464,8.634034885,8722.495318,374530.3632
26/05/1999,11,15,4,13,6,,,0.909,0.191,0.19,0.128,0,0.982,0.561,0.241,0.886,0.139,1.366,7.982,0.022,0.381,7.948814585,1986.072097,192886.838
26/05/1999,15,7,2,6,2,,,0.139,0,0.377,0,0,0,0.144,0,0,0.043,0,1.766,0,0.362,1.729892706,587.3127341,38716.5146
26/05/1999,22.4,5,3,4,2,,,0,0,0.181,0,0,0,0,0,0,0,0,3.492,0.15,0.87,3.497238155,1547.752809,2173.580817
26/05/1999,25,9,2,3,1,,,0,0,0,0,0,0,0,0,0,0,0,5.35,0.388,2.319,5.202397918,1497.776217,291056.2605
26/05/1999,31.6,4,2,5,2,,,0,0,0,0,0,0,0,0,0.54,2.847,0,9.41,4.684,182,9.423251322,1109.667603,16124.74277
26/05/1999,36,7,3,6,1,,,0,0,0,0,0,0,0,0,0.909,3.909,1.626,13.57,21.38,363.4,13.64457583,6844.920412,298885.1396
26/05/1999,37,6,3,,,,,,,,,,,,,,,,,,,NA ,11850.88951,171170.6874
