sample depth,basin,Sample ID,Peridinin,Fuco,Neo,Viola,Diadino,Diadinochr,Anthera,Calo,Diato,Lutein,Zea,Cantha,Croco,Vauch,Echi,e-Car,a-Car,b-Car,Chl a,Chl b,Chl c,Ph a,Ph b,Zea-Lu,Viola*,cy fil,pla spe,chl 5,mon tor,mon spe,mon con,raphidiolocelis,ch l10,di nob ,ch ina,rh min,gy mno,ce d05,ce d10,ce d15,ce d20,ce d25,ce d30,ce d35,ce d40,ce d50,ce d55,ce d60,ce d65,ce d70,ce d75,ce d80,ce d85,au l10,au l15,ce 100,fr ang,fr acu,sy acu
5,Zentral, B1,0.046631669,0.178188355,0.01220598,0.034452291,0.044700425,,0.010561034,0.068894101,0.007188158,0.059474016,0.140843524,0.002761377,0.003087418,,0.004860979,,0.005109371,0.011473535,0.837984244,0.045746785,0.035649043,,,0.137275083,0.027590273,0,0,0.0069816,0,0.0240744,0.000307,0.0008043,0,0,0,0.0104681,0.0382787,0,0,0,0,0.016829649,0.035545162,0.020527686,0,0,0,0,0,0,0,0,0,0,0,0,0.3647057,0,0
10,Zentral, B2,0.014988632,0.160624152,0.001590481,0.031881059,0.032842452,,0,0.051664765,0.000686449,0.040072471,0.107138753,0.000335788,0,,0.000980805,,0.003121874,0.018328846,0.913300042,0.100124469,0.051983449,,,0.104734404,0.016862389,0.0005741,0,0.0064163,0,0.0126126,0,0.0018552,0.0261686,0.021418,0,0.017162,0.0354108,0,0,0,0.003381618,0.013209446,0.016303019,0.01812336,0.023192548,0.03773847,0,0,0,0,0,0,0,0,0,0,0.2299909,0,0
30,Zentral, B3,0.083516802,0.406042738,0.011568919,0.038299125,0.043499461,0,0,0.03499027,0.027179771,0.065670245,0.094420032,0.000851061,0,0,0.000644113,0.003806684,0.002850092,0.031691634,1.579095452,0.15959806,0.080856759,,,0.090479817,0.014359416,0,0,0.0042388,0,0.0135418,0,0.0005745,0,0,0.0080787,0.0127903,0,0,0,0,0.002872679,0.005610701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5051306,0,0
5,Zentral, B4,0,0.234886547,0.00653499,0.018042441,0.070347788,,0,0.0482681,0.009803213,0.0356548,0.046230454,0,0,,0,,0.00078511,0.012692982,0.825145773,0.05468424,0.02906862,,,0.044091166,0.009839805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Zentral, B5,0,0.144289761,0.003937178,0.009653953,0.036905839,,0,0.030292728,0.005409116,0.020364978,0.028250594,0,0,,0,,0,0.007861135,0.483179099,0.03376256,0.01721668,,,0.027028695,0.004589569,0,0,0.0107076,0,0.0179375,0,0,0,0,0,0,0,0,0,0,0.004838064,0.010394278,0.021227006,0.028521899,0.038704512,0.098273175,0,0.052251091,0,0.124459196,0,0.278672486,0,0,0,0,0,0,0
30,Zentral, B6,0,0.277042513,0,0.017022827,0.060551819,0,0,0.041258093,0.007795602,0.03304904,0.044172932,0,0,,0,,0,0.014475588,0.905806836,0.059926094,0.042250511,,,0.04218999,0.008033913,0,0,0.0202541,0,0.0185426,0,0.0035296,0,0,0,0,0,0,0,0,0.003870451,0.006614541,0.006531386,0.023336099,0.03096361,0.07559475,0,0.039188318,0,0.082972798,0,0,0,0,0,0,0,0,0
5,Nord, B7,,0.200690013,0.007669349,0.055101041,0.007639161,0.002398523,0,0.007429673,0.006364145,0.015146289,0.023739519,0,0,0,0.001233893,0,0.008288842,0.010270826,1.081319422,0.062871008,0.074410603,,,0.022830742,0.04567039,0,0,0.00727675,0,0.00343345,0,0,0,0.13498595,0,0,0.05680285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073507667,0.03366105,0.02608735,0,0.01283375,0,0
10,Nord, B8,0.006707593,0.465770618,0,0.021365523,0.072225488,,0,0.026209631,0.007138608,0.039910692,0.02020262,0,0,,0.001146938,,0.00099631,0.017951626,1.108042781,0.077031255,0.081883214,,,0.017807978,0.009810835,0,0,0,0,0.0067274,0,0,0,0.1369382,0.00155,0.0016319,0,0.000491945,0.002119166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Nord, B9,0.00907163,0.463285771,0,0.026307887,0.077006887,,0,0.021792051,0.005678821,0.027682359,0.041619377,0,0,,0.001697566,,0.00196694,0.017564277,1.232952645,0.114143718,0.039944379,,,0.039958436,0.00918633,0,0,0.01047235,0,0.00323735,0,0,0,0.0927669,0.00392215,0.00053095,0.0269246,0.000261813,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245095066,0,0.0534089,0.05150145,0,0.00681625,0,0
5,Nord, B10,0,0.445940698,0.004659613,0.029893889,0.041153552,0.002874583,0.052253214,0.023659144,0.027059999,0.0341296,0.028806899,0,0,0,0,0,0,0.021059614,1.346433056,0.103767956,0.093715507,,,0.026759123,0.014328695,0.0007559,0,0,0,0.0077649,0,0,0.00503935,0.3744383,0,0.00363195,0.06126175,0,0,0,0,0,0.00244927,0,0.015481805,0.04535685,0,0.104502182,0,0.186688795,0.178592597,0.278672486,0.389966857,0.0385267,0.0945358,0.302379,0,0,0
