sample nummer,Chlorophyll c3,Chlorophyll c2,Chlorophyllide a,Chlorophyll c1,Peridinin,Fucoxanthin,Neoxanthin,Prasinoxanthin,Violaxanthin,pheophorbide a,Aphanizophyll,Diadinoxanthin,Myxoxanthophyll-like,Alloxanthin,Myxoxantophyll,Canthaxanthin,Lutein,Zeaxanthin,Chlorophyll b,Chlorophyll a,Crocoxanthin,Echinenone,b-cryptoxanthin,Pheophytin a,a-carotene,b-carotene,Total Chlorophyll a,Gesamt
18,0.003,0.73,9.024,0.553,0.329,3.799,0.687,0,0.969,2.623,0.104,2.126,0,2.063,0.002,0.277,1.748,0.656,3.998,35.515,0.064,0.252,0,1.692,0.543,0.97,44.539,68.727
19,0.017,0.076,0.196,0.029,0.193,0.27,0.022,0,0.049,0,0.007,0.149,0.026,0.091,0.109,0.009,0.05,0.105,0.121,2.673,0.004,0.052,0,0,0,0.136,2.869,4.384
20,0.018,0.121,0,0.093,0.158,0.508,0.017,0,0.122,0,0,0.121,0.018,0.354,0.013,0.014,0.03,0.065,0.098,3.678,0.016,0.009,0,0,0.044,0.09,3.678,5.586
21,0.094,0.37,0.182,0.248,0.366,1.822,0.109,0.028,0.183,0,0,0.562,0.021,0.479,0,0.027,0.209,0.081,0.556,9.258,0.021,0.016,0,0,0,0.235,9.441,14.87
22,0.009,0.085,0.168,0.067,0.056,0.615,0.02,0,0.085,0,0,0.322,0,0.166,0,0,0.034,0.068,0.086,3.345,0.007,0,0,0,0.011,0.12,3.513,5.263
23,0.055,0.068,0.151,0.076,0.127,0.466,0.022,0,0.078,0,0.034,0.274,0.039,0.143,0.007,0.039,0.033,0.61,0.072,2.874,0,0.066,0,0,0,0.214,3.025,5.448
24,0.023,0.028,0.104,0.275,0.832,0.583,0.044,0,0.142,0,0.012,0.447,0.012,0.326,0.602,0.048,0.097,0.544,0.261,10.413,0.019,0.272,0,0.648,0,0.729,10.518,16.464
25,0,0.294,6.756,0.196,0.286,1.408,0.063,0,0.082,0,0.012,0.445,0.662,0.509,2.919,0.033,0.148,1.696,0.479,34.23,0,1.776,0,0,0,3.402,40.986,55.396
26,0.01,0.058,0.11,0.026,0.143,0.179,0.018,0,0.048,0,0.007,0.163,0.017,0.081,0,0,0.036,0.318,0.089,1.957,0,0.034,0,0,0,0.159,2.067,3.452
27,0.016,0.113,0.109,0.098,0.282,0.538,0.015,0,0.129,0,0,0.211,0.067,0.141,0,0.024,0.027,0.154,0.049,2.667,0.006,0.012,0,0,0,0.11,2.776,4.766
