Name,Achnanthes sp.,Actinastrum sp.,Amphora sp.,Anabaena sp.,Ankistrodesmus sp.,Asterionella formosa,Bitrichia sp.,Ceratium sp.,Chodatella sp.,Chroococcus sp.,Closterium sp.,Coelastrum sp.,Cosmarium sp.,Crucigenia sp.,Cryptomonas sp.,Cyclotella sp.,Cymbella sp.,Diatoma sp.,Dinobryon sp.,Diploneis sp.,Elakatothrix sp.,Fragilaria sp.,Gomphosphaeria sp.,Gymnodinium / Peridinium,Kirchneriella sp.,Lyngbya sp.,Melosira sp.,Meridion circulare,Merismopedia sp.,Microcystis sp.,Mougeotia sp.,Navicula sp.,Nephrochlamys sp.,Nitzschia sp.,Oscillatoria sp.,Pandorina sp.,Pediastrum sp.,Peridinium sp.,Phacus sp.,Pinnularia sp.,Rhodomonas sp.,Scenedesmus sp.,Selenastrum sp.,Spirogyra sp.,Spirulina sp.,Staurastrum sp.,Stauroneis sp.,Stephanodiscus sp.,Synedra sp.,Tabellaria sp.,Tetraedron sp.,Tetrastrum sp.,Ulothrix sp.,Zygnema sp.,non defined blue algae,non defined green algae ,filamentous blue algae,filamentous green algae,non defined coccal green algae ,Nanoflagellates,SUMME
18.00,,2903411.60,,285854616.10,44770000.00,56757333.33,,550964095.90,,,257026.13,78084725.68,,,1966926470.59,149052156.86,,,73561459.51,,,,,,8341957.24,,,,,2662736.84,,,,,,,68423775.52,1007930823.23,,,,2949189270.50,28203079.07,,,838756.22,,,192776425.79,,15003161.79,41744575.44,,,,,,678087647.06,33511450.79,368187500.00,
19.00,,,,7289590.75,1772984.08,194255.73,367634.82,124522877.90,,3961631.30,656087.08,,,,38796743.94,116974420.04,45967.42,,4613940.99,,36900.22,2150294.54,100928000.00,3639957.89,,,,,2205000.00,3138010.75,,,,,,21169299.25,4965.51,,,,12859973.81,,,,,,93044.73,,,,1573043.95,824867.08,,,,,,,5983307.73,30759872.02,
20.00,,,,,1152000.00,4745418.18,280242.87,17331044.05,,144161.16,,,837658.70,,124879308.44,19254146.96,,,235541640.03,,,2868173.53,2541676.18,15413615.49,,,,,,,,1758131.68,,,448889.72,,232450.27,,,,12855213.83,30323.86,,,,,,,5123021.36,,138107.85,,,,,,,,950948.14,25479516.40,
21.00,33301.05,,,48161.40,84235.79,38099433.06,756218.66,12710877.22,,,1887907.20,761096.14,18031.63,13394664.27,,778267324.23,,1504091.49,335293.78,,1294591.55,158068.03,4660022.27,,130774.74,,,4213862.33,909473.68,,,11597457.80,,,12117778.35,,709899.00,102082855.74,,,7515473.49,2171898.57,,,,1668013.27,,,1092070358.56,,9748245.59,103225768.13,,,,9858278.22,,112832.17,,68231349.31,
22.00,,,,1433063.04,739933.71,240265.05,952989.01,71744801.16,,139599.33,91180.37,179171.26,,,197336159.16,139953260.24,252517.70,,3415366.41,,691565.91,1084287.31,,,,17359161.13,610555.74,,1318736.84,,,1113189.44,,,2152806.40,,,,,,7784291.04,199589.94,,,,,,,98904.93,,126950.74,3028227.32,,,88044.95,3188234.41,,,125277726.52,11456051.91,
23.00,,,,9836374.73,27766.14,55633.86,1481391.21,9645091.90,,506264.94,,,1543158.79,,113484575.00,18965581.25,,,1311552.25,,200199.13,88717.14,,,,,,,27284.21,18105600.00,,1289773.49,,,,,25959.05,63558930.11,,,45766168.86,321290.38,,,,50807.25,,,,,138998.41,,,,3336142.73,1034778.34,,,,36091989.96,
24.00,,,,2352650.25,405933.93,1390039.15,,453882475.56,,55589313.83,,,1327763.92,,192889454.40,125624445.01,,,22736240.71,,175303.51,1050327.44,521610360.74,178144777.79,,6002390.51,1755775.97,,3376421.05,344900.00,,2865499.15,443818.52,,9368443.41,60363316.03,,2636794.72,,,17379676.54,1012049.57,,,,950996.17,,,18468.26,29082533.73,,3379054.99,,,,5231.21,,127132.69,1839960.94,24326833.33,
25.00,,,,,3092703.44,7930152.45,,127442157.16,,,3782262.86,837505.10,12435144.57,,72680318.78,24843822.70,1223143.34,,,,120324.58,4431595303.04,443960253.65,385486677.02,,,,,,140190899.71,,2550963.78,,,,,21231341.93,,,,7236163.45,111539.39,61938.82,,,48029316.85,,,6405460.65,,608171.73,366880.71,,,1804486278.46,84210.53,,95623706.62,8453148.87,,
26.00,168504.12,,,3096864.31,461206.99,,262362.41,123986692.14,,391759.90,123110.07,,3518993.96,,44704564.45,44557063.19,,,1351582.41,,5888319.70,83675.52,,,135641.58,33398.29,,,18189.47,4007392.97,,566092.62,,,587177.03,226336.02,16820.79,3526426.48,,,17846499.09,1184669.41,,,,282458.92,227851.94,,331930.69,,120603.44,2835302.34,,,17078624.44,1261092.47,,,181799.88,16120187.53,
27.00,102983.82,,,3779543.12,15013.63,,2102658.95,48000030.25,,54049.50,,,33091.89,,114638049.09,114078358.26,,,108822411.33,,748428.05,339950.92,,126042904.87,13564.16,,,,1115042.54,6444198.68,,3482707.36,,,9069444.61,,,,,,13205631.64,3792330.34,,,126315.79,,2492379.81,,6338980.84,,2741753.84,3542270.94,,,1630113.05,9421964.11,,,697790.00,20471041.67,
