pigment,param,1,2,3,4,5,6,7,8,9,10,11,12,13
[Cd]-Chl?a,a,0.4828,0.2295,0.1359,0.0609,0.0322,0.0111,0.0201,0.2515,0.7387,0.3399,0.3867,,
[Cd]-Chl?a,xp,660.1,657.07,614.38,576.65,534.94,494,459.72,432.75,428.83,408.15,387.38,,
[Cd]-Chl?a,sig,7.25,13.3,14.9,12.2,22,10.1,18.9,5.52,10.8,7.75,18,,
[Cd]-Chl?b,a,0.2221,0.0933,0.0454,0.0663,0.4366,0.2003,0.6517,0.0782,0.0094,0.2953,,,
[Cd]-Chl?b,xp,637.87,633.51,588.57,553.01,459.32,445.72,437.17,422.44,372.72,342.66,,,
[Cd]-Chl?b,sig,10.6,24.4,12.9,38.6,9.07,5.94,20.9,5.22,5.81,52,,,
[Cu]-Chl?a,a,0.572,0.1851,0.1259,0.0601,0.042,0.0301,0.5942,0.6563,0.0619,0.4385,,,
[Cu]-Chl?a,xp,650.84,645.29,600.99,550.45,505.43,469.61,423.21,405.91,393.96,365.65,,,
[Cu]-Chl?a,sig,8.86,19.93,13.65,18.38,11.24,18.45,4.97,16.07,6.77,21.98,,,
[Cu]-Chl?b,a,0.0099,0.2024,0.07,0.006,0.0191,0.7485,0.1501,0.2552,0.0931,0.0843,,,
[Cu]-Chl?b,xp,631.48,624.91,579.89,578.15,518.24,432.63,428.75,408.76,391.32,351.61,,,
[Cu]-Chl?b,sig,4.25,11.67,44.52,7.23,8.84,11.57,5.05,11.33,59.9,13.06,,,
Chl a,a,0.6002,0.2091,0.1426,0.0735,0.0324,0.0134,0.8047,0.4768,0.0739,0.3772,0.1591,,
Chl a,xp,661.73,657.85,614.93,575.76,534.04,491.03,430.7,411.14,379.86,379.37,325.87,,
Chl a,sig,7.05,12.89,13.99,12.02,17.5,13.04,7.01,10.39,9.06,31.67,9.99,,
Chl b,a,0.2447,0.1018,0.0617,0.0453,0.7076,0.2126,0.2196,0.1267,0.0619,0.0551,0.2271,,
Chl b,xp,644.65,641.98,598.72,556.09,456.81,453.48,428.81,427.33,379.62,364.69,334.3,,
Chl b,sig,7.25,14.92,14.48,28.24,11.05,6.55,8.3,35.19,6.73,7.63,22.22,,
Chl c1,a,0.0131,0.0845,0.0675,0.0246,0.0736,0.0058,0.0348,0.8818,0.0819,0.1358,0.3185,,
Chl c1,xp,678.38,629.25,627.9,578.52,571.14,502.5,452.41,440.71,413.93,396.3,277.23,,
Chl c1,sig,12.72,7.61,19.1,7.2,29.89,7.67,4.51,13.46,6.46,18.78,112.9,,
Chl c2,a,0.0217,0.0894,0.0244,0.0669,0.0378,0.6127,0.0668,0.2803,0.3581,0.0747,0.1904,,
Chl c2,xp,658.24,628.75,611.16,581.38,562.34,454.43,452.66,442.91,432.89,396.5,344.94,,
Chl c2,sig,19.82,7.18,8.18,10.45,28.01,8.42,17.12,7.06,13.24,15.06,75.25,,
[Zn]-Chl a,a,0.551,0.2201,0.1194,0.0628,0.0449,0.0078,0.012,0.1005,0.8192,0.4649,0.2068,0.2149,
[Zn]-Chl a,xp,654.61,649.86,605.94,561.3,518.46,490.26,479.37,429.12,423.23,404.19,378.62,367.62,
[Zn]-Chl a,sig,7.16,13.49,13.19,12.67,13.04,6.77,8.98,4.2,8.38,9.01,20.84,37.57,
[Zn]-Chl b,a,0.1268,0.2925,0.0971,0.092,0.0216,0.05,0.3414,0.5896,0.1274,0.5323,0.1384,0.0394,0.2241
[Zn]-Chl b,xp,649.69,639.19,636.25,593.91,562.73,540.23,456.99,450.11,432.43,428.51,405.76,377.28,351.82
[Zn]-Chl b,sig,6.86,7.3,15.98,14.98,8.95,21.77,9.58,7.26,32.78,9.11,8.63,7.46,25.1
13-cis-zeaxanthin,a,0.5947,0.2227,0.7022,0.5934,0.1732,0.1657,0.3742,,,,,,
13-cis-zeaxanthin,xp,477.51,463.58,447.9,421.18,398.23,382.09,340.7,,,,,,
13-cis-zeaxanthin,sig,12.79,27.3,11.33,12.59,9.1,14.15,13.81,,,,,,
9-cis-zeaxanthin,a,0.6518,0.1899,0.8192,0.6042,0.1774,0.1375,0.114,,,,,,
9-cis-zeaxanthin,xp,477.94,473.39,448.4,421.71,398.91,383.62,337.59,,,,,,
9-cis-zeaxanthin,sig,11.55,22.57,11.33,12.05,8.93,13.09,19.46,,,,,,
all-trans-zeaxanthin,a,0.2165,0.571,0.8665,0.5054,0.0839,0.2065,0.0425,,,,,,
all-trans-zeaxanthin,xp,488.21,483.13,453.57,426.23,403.6,402.18,381.1,,,,,,
all-trans-zeaxanthin,sig,15.54,11.63,12.47,11.38,64.4,10.8,8.49,,,,,,
antheraxanthin,a,0.4882,0.2609,0.7795,0.2435,0.3701,0.1611,0.0213,0.4867,,,,,
antheraxanthin,xp,474.76,469.51,442.97,417.47,416.8,396.47,372.69,289.4,,,,,
antheraxanthin,sig,11.71,6.985,11.71,43.28,8.465,10.37,6.34,20.07,,,,,
aurochrome,a,0.3176,0.2814,0.5161,0.4213,0.6366,0.2219,0.1021,,,,,,
aurochrome,xp,479.64,453.76,434.32,410.48,385.66,382.22,359.69,,,,,,
aurochrome,sig,9.04,10.6,8.38,9.26,50.81,7.77,5.74,,,,,,
beta-carotene,a,0.0053,0.5858,0.4309,0.5904,0.1226,0.0148,0.1036,,,,,,
beta-carotene,xp,575.54,484.53,454.11,438.68,427.02,400.88,322.99,,,,,,
