Pigment,Absorptivity
[Cd]-Chl?a,90
[Cd]-Chl?b,60
[Cu]-Chl?a,60
[Cu]-Chl?b,43
Chl a,82
Chl b,49
Chl c1,210
Chl c2,210
[Zn]-Chl a,90
[Zn]-Chl b,60
13-cis-zeaxanthin,113
9-cis-zeaxanthin,88.4
all-trans-zeaxanthin,133
antheraxanthin,137
aurochrome,143
beta-carotene,134
beta-cryptoxanthin,134
cis-canthaxanthin,80
cis-diadinoxanthin,130
cis-echinenone,100
diadinochrome,
diatoxanthin,119
Fucoxanthin,69.7
lutein,145
myxoxanthophyll,158
neoxanthin,135
Pheo?a,46.5
Pheo?b,31
trans-canthaxanthin,125
trans-diadinoxanthin,130
trans-echinenone,116
violaxanthin,144
