"lambs, Peridinin",Peridinin,"lambs, Alloxanthin",Alloxanthin,"lambs, Phycoerythrobilin",Phycoerythrobilin,"lambs, Phycocyanobilin",Phycocyanobilin,"lambs, Allophycocyanin",Allophycocyanin,"lambs, Phycobilisome",Phycobilisome,"lambs, Phycourobilin",Phycourobilin
400,0.003954802,400,0.012542699,400,0,400,0.110572418,400,0.065306632,400,0.059163547,400,0
416.1693936,0.006571943,413.5707411,0.019563357,450,0,435.64066,0.032511713,409.758305,0.048103745,423.2088394,0.035722765,423.75,0
436.9586141,0.011906168,425.4090472,0.027599332,462.3762376,0.022160665,463.568955,0.002770422,425.2596277,0.033003807,445.3985937,0.01819012,441.25,0.0529274
459.1915303,0.020405866,432.6275265,0.03438715,477.2277228,0.041551247,501.7885516,0.068853127,440.0969373,0.013625954,464.8105196,0.000630079,456.25,0.183723653
479.4032724,0.027773337,439.5572666,0.037445827,491.0891089,0.146814404,519.6822163,0.145202689,448.8544212,0.007139462,499.1087572,0.021678386,472.5,0.433928571
491.8190568,0.030047253,446.4870067,0.03960055,510.8910891,0.390581717,535.1069464,0.279323691,471.0477292,0.009122379,532.5687152,0.090055703,480,0.600029274
503.0798845,0.031302915,454.2829644,0.046840998,527.7227723,0.650969529,567.4964351,0.759054797,488.5324493,0.011138905,582.377865,0.486996621,487.5,0.78954918
514.0519731,0.030072375,461.2127045,0.051707585,539.6039604,0.905817175,595.9991852,1.181218171,509.3501985,0.028120934,601.3021642,0.706118163,488.75,0.911299766
529.3551492,0.025117915,464.1000962,0.052388814,549.5049505,0.991689751,612.7317173,1.34414341,528.75782,0.077232942,611.7833988,0.865984842,493.75,0.990807963
546.1020212,0.01711424,467.8537055,0.049794185,555.4455446,0.997229917,620.3829701,1.363128947,562.0665069,0.237594765,617.5034243,0.954798649,502.5,0.620579625
554.186718,0.012151623,473.6284889,0.045054947,561.3861386,0.91966759,632.8376451,1.160806682,581.28832,0.378785187,624.9876724,0.996292576,507.5,0.367535129
567.4687199,0.007872846,478.825794,0.041557995,570.2970297,0.531855956,639.7799959,0.622122632,586.4275803,0.498662851,633.2389736,0.951995252,515,0.271340749
582.1944177,0.004160672,486.3330125,0.043261393,577.2277228,0.221606648,649.3868405,0.179507028,594.9949347,0.586396132,642.953155,0.697653182,523.75,0.149355972
601.2512031,0.001357346,490.0866218,0.045525522,583.1683168,0.060941828,665.7160318,0.025137503,607.5809371,0.682666039,652.5577573,0.384138435,533.75,0.003922717
617.4205967,0.000923639,493.840231,0.046094735,593,0,679.6618456,0,621.5208926,0.774643627,665.9866679,0.13575016,543.75,0
627.8152069,0,494.9951877,0.044627113,600,0,700,0,630.8948574,0.795989994,677.8376404,0.035275317,580,0
700,0,506.5447546,0.021363327,700,0,,,636.9357929,0.802370858,688.8941649,0,700,0
,,512.6082772,0.009844755,,,,,640.1737573,0.864446248,700,0,,
,,524.1578441,0.002852156,,,,,644.6490045,0.980045996,,,,
,,553.0317613,0.000963878,,,,,646.5589426,1.033565554,,,,
,,589.9903754,0,,,,,648.5207342,1.06138881,,,,
,,700,0,,,,,651.8753691,1.065647521,,,,
,,,,,,,,655.3812434,0.994958685,,,,
,,,,,,,,660.8417075,0.622328703,,,,
,,,,,,,,665.5992683,0.264693032,,,,
,,,,,,,,676.1125702,0.054767883,,,,
,,,,,,,,684.2838212,0,,,,
,,,,,,,,699.1081674,0,,,,
,,,,,,,,700,0,,,,
