lambda,Chl a,Chl b,Chl c1,Chl c2,Peridinin,Fucoxanthin,Phycocyanobilin,Phycoerythrobilin,Phycourobilin
400,47.53920555,4.789634998,68.59256221,49.42368806,10.37486545,32.14953071,5.321857262,0.0,0.0
403,52.43946176,5.074959511,70.49006198,50.07318459,11.64869808,34.93365658,5.005611728,0.0,0.0
406,56.54138758,5.476242452999999,74.61598199,51.52861659,12.92253071,37.95236209,4.689366194,0.0,0.0
409,58.82614217,6.086515995,80.93548608,54.25490586,14.19636335,41.254295299999995,4.373120659,0.0,0.0
412,59.0469792,7.064206555,88.39739308,58.61693829,15.47019598,44.73822301,4.056875125,0.0,0.0
415,58.29309620000001,8.576600793999999,95.97885437,64.75529904,16.74402862,48.09184533,3.7406295910000003,0.0,0.0
418,58.92646285,10.683537800000002,104.0840184,72.50973459,18.47277898,50.9271549,3.4243840569999997,0.0,0.0
421,63.29172543,13.20733335,114.5700314,81.47612706,20.49213135,53.06934101,3.108138522,0.0,0.0
424,71.42559214,15.70353001,129.1317479,91.28170243,22.51148371,54.73520995,2.7918929880000003,0.0,0.047389510499999996
427,79.58245935,17.63168209,147.6935392,102.042929,24.53083608,56.39839561,2.475647454,0.0,0.6160636349999999
430,81.80289284,18.68573987,168.18483469999998,114.67323329999999,26.55018844,58.457728700000004,2.15940192,0.0,1.1847377595
433,74.17638952,19.08288333,187.42685459999998,130.4695821,28.56954081,61.00002148,1.843156385,0.0,1.7534118825
436,58.06807020000001,19.59943903,202.1764899,149.8077305,30.58889317,63.79303364,1.5463729569999998,0.0,2.3220860070000002
439,39.06505546,21.30566431,209.8991665,170.90392680000002,33.28149273,66.41779443,1.392609526,0.0,2.8907601315
442,22.84927813,25.10135908,209.37574809999998,190.12394619999998,36.29024234,68.40811085,1.2388460940000001,0.0,3.7271535405
445,12.04617437,31.171206400000003,201.06574730000003,203.8555875,39.29899195,69.35718414,1.085082662,0.0,5.3667048
448,6.172526872000001,38.54230692,186.4018483,209.94359169999998,42.30774156,69.01769561,0.9313192309999999,0.0,7.006256060999999
451,3.42761271,45.14841756,166.08922280000002,207.2565096,45.31649117,67.41716052,0.777555799,0.11777466699999999,8.645807322
454,2.216320917,48.72315743,140.4970967,194.7253462,48.32524077,64.96283163,0.6237923670000001,0.47109866899999997,10.285358583
457,1.6303115330000002,48.07348557,112.3737633,171.9609772,51.33399038,62.43533148,0.470028935,0.82442267,12.2387968005
460,1.286587476,43.65543158,86.23212913,140.9985892,54.30501323,60.72339564,0.316265504,1.177746671,15.133895894999998
463,1.058160303,36.986429,64.81159408,106.72515290000001,57.17376962,60.28718931,0.162502072,1.511174333,18.02899497
466,0.909597105,29.61995601,48.36451382,74.97226661,60.042526,60.69377365,0.335647682,1.768806418,20.92409406
469,0.8302128590000001,22.59546995,36.21494953,49.87836381,62.91128239,60.75529485,0.585302173,2.026438502,23.819193149999997
472,0.813085677,16.46998083,27.59530774,32.62279402,65.78003877,59.33553781,0.834956664,2.284070587,26.71429224
475,0.8490620879999999,11.50782811,21.7313229,22.01622324,68.64879516,56.12181515,1.084611155,2.541702672,30.666972089999998
478,0.9249978999999999,7.77348651,17.88002669,15.93539733,71.51755155,51.63011924,1.334265646,3.11875896,34.831168094999995
481,1.023887196,5.164040485,15.40833076,12.46676448,73.62659883,46.5841725,1.5839201369999998,4.617231264,39.191072985
484,1.126642597,3.4627669269999997,13.84000587,10.34846189,75.0679813,41.42247084,1.833574628,6.115703568,43.942395645000005
487,1.21526756,2.4157765540000002,12.85662268,8.909367931,76.50936378,36.31056308,2.083229119,7.6141758710000005,48.69371832
490,1.276641925,1.7959057,12.26418399,7.843592523,77.95074625,31.37740238,2.33288361,9.112648175,58.362226995
493,1.305744822,1.4337983419999998,11.93990954,7.021180048,79.17018495,26.807787899999997,2.582538101,11.20389812,61.35216963
496,1.307156423,1.219965397,11.77908375,6.382436652000001,80.04775425,22.76063378,2.8321925919999997,13.63300061,56.132823105
499,1.294169989,1.0915992270000001,11.66865313,5.892991757000001,80.92532354,19.28246489,3.081847083,16.06210309,48.177046860000004
502,1.2856284279999999,1.01616384,11.50411347,5.5286214639999995,81.80289284,16.31263007,3.357329052,18.49120558,40.221270614999995
505,1.30134671,0.978072669,11.23333147,5.271001243,81.55385807,13.74845079,3.9734201369999997,20.92030806,30.965428170000003
508,1.3573868919999998,0.970034883,10.88361789,5.1063862239999995,80.67121440000001,11.503683500000001,4.589511223,23.34941055,22.633611285
511,1.46238651,0.9882607520000001,10.54159468,5.024694655,79.78857072,9.529805825,5.2056023080000005,25.80114882,20.22198843
514,1.615696644,1.030126405,10.30015341,5.018488182,78.90592705,7.807999903,5.8216933939999995,28.85376424,17.81036556
517,1.807500106,1.093156741,10.21444437,5.081895383,76.38681109999999,6.3316389310000005,6.437784478999999,31.90637966,15.258950655
520,2.020593745,1.1746281379999999,10.29292573,5.209604701,73.83884449,5.092640066,7.12160686,34.95899508,12.637639715999999
523,2.233265255,1.271437739,10.51542686,5.396018097000001,71.29087787,4.075423086,8.377107348,38.011610499999996,10.0163287785
526,2.42267388,1.3800866369999998,10.85496979,5.634612565,68.74291126,3.2567484560000004,9.632607836,41.06422593,7.3100941575
529,2.5682704519999997,1.496720405,11.28916062,5.917529223,66.19494465,2.6084625740000003,10.88810832,44.61917996,4.57555164
532,2.654965962,1.617209672,11.80132156,6.235406661,62.57730757,2.100902935,12.14360881,48.85170704,1.8410091225
535,2.6759074640000002,1.737267486,12.37740902,6.577507152000001,58.81603569,1.7057644769999998,13.3991093,53.08423411,0.21512690699999998
538,2.6347966069999997,1.852605013,13.00310412,6.932274262999999,55.05476381,1.3979933919999998,15.50623686,57.31676119,0.14136910950000003
541,2.547638456,1.959129805,13.66234557,7.288637826,51.29349193,1.156707787,17.64484619,60.37609662,0.0676113135
544,2.443584081,2.053193561,14.33702854,7.638642762999999,47.53222006,0.9653455679999999,19.78345552,62.08750973,0.0
547,2.364135961,2.131898519,15.00746247,7.982186424,43.45078719,0.81130085,21.92206484,63.79892284,0.0
550,2.35958632,2.1934702280000002,15.65371714,8.334416035,38.61990992,0.68529238,24.06067417,65.25829136,0.0
553,2.481533111,2.237694252,16.25907909,8.735026483,33.78903265,0.58065203,26.1992835,65.44231427,0.0
556,2.7711380689999996,2.266388901,16.81845268,9.255833473,30.34564477,0.492655877,28.33789283,65.11617468,0.0
559,3.244678243,2.283841278,17.35454638,9.999205848999999,27.81031125,0.417961806,30.47650216,62.53985383,0.0
562,3.880446397,2.297072857,17.93693491,11.07789553,25.27497774,0.35417393,32.61511149,58.73347439999999,0.0
565,4.612905479,2.315739947,18.67950361,12.57075127,22.73964423,0.299526833,34.75372082,50.14573836,0.0
568,5.339580171000001,2.351445523,19.67774945,14.46141918,20.30195651,0.252669187,36.89233015,41.55800232,0.0
571,5.942567365,2.41628354,20.88287228,16.58479286,18.31800331,0.212522514,39.03093948,32.91277177,0.0
574,6.320592142000001,2.520589359,22.00499867,18.61700811,16.33405011,0.17819273,41.16954881,24.07967185,0.0
577,6.4218675979999995,2.6701318819999997,22.59065232,20.13557659,14.35009691,0.148916531,43.30815813,15.24657192,0.0
580,6.265819779,2.863301279,22.29541542,20.7438125,12.36614371,0.124029479,45.44676746,9.644501303,0.0
583,5.944736317,3.0891091580000003,21.145379000000002,20.21402145,10.60405721,0.10294692,47.58537679,4.307836696,0.0
586,5.603529202000001,3.3268856039999997,19.53781173,18.58458396,9.446338786,0.085152103,49.72398612,2.853930392,0.0
589,5.403691317000001,3.548320729,17.97885729,16.16439161,8.288620363,0.07018817,51.86259545,1.630817367,0.0
592,5.4825214120000005,3.7219478180000003,16.80611011,13.44330797,7.130901941,0.057652108,54.00120478,0.40770434200000005,0.0
595,5.919024351,3.81942846,16.10510208,10.94725834,5.973183518,0.047189700999999994,56.13981411,0.0,0.0
598,6.714407367000001,3.8223177760000002,15.80256761,9.087641496,4.8154650960000005,0.038490984,57.78977301,0.0,0.0
601,7.79019633,3.727624255,15.79452255,8.04595503,3.657746673,0.031286002,59.19570518,0.0,0.0
604,9.002851624,3.5506046639999997,16.02174758,7.733125433,3.3673850969999997,0.02534079,60.60163736,0.0,0.0
607,10.17115493,3.323845985,16.5035206,7.870067613,3.156288282,0.020453571,62.00756953,0.0,0.0
610,11.11115439,3.0926206210000005,17.36817986,8.206476529,2.945191467,0.016451178,63.41350171,0.0,0.0
613,11.67248842,2.907596827,18.87150665,8.787053154,2.7340946510000004,0.013185715,64.7257453,0.0,0.0
616,11.769445,2.817390286,21.325039800000003,10.03732963,2.522997836,0.010531475,65.08402979,0.0,0.0
619,11.40069158,2.865796899,24.85402735,12.44607777,2.054869719,0.008382113,65.44231427,0.0,0.0
622,10.65364072,3.1018589960000003,29.05178837,15.92838754,1.3555544080000002,0.006648086,64.34319264,0.0,0.0
625,9.692576177000001,3.61033789,32.82572076,19.41335674,0.656239097,0.005254345,61.99761966,0.0,0.0
628,8.733020416,4.552132083,34.75017536,21.25362524,0.0,0.004138275,59.65204669,0.0,0.0
631,8.0078774,6.160117335,33.84814362,20.33993404,0.0,0.003247872,57.30647372,0.0,0.0
634,7.7352991410000005,8.604375033,30.22760599,16.95707746,0.0,0.002540138,51.52876737,0.0,0.0
637,8.108636892,11.71800916,25.01410189,12.55217968,0.0,0.001979678,40.32497036,0.0,0.0
640,9.346167047,14.78448235,19.64067265,8.683567542,0.0,0.001537484,29.45494277,0.0,0.0
643,11.835828300000001,16.70797697,15.10746489,6.154164582000001,0.0,0.001189886,22.80246204,0.0,0.0
646,16.31385606,16.62320986,11.72329497,4.919106201,0.0,0.000917654,16.14998132,0.0,0.0
649,23.78929148,14.49784698,9.318354117,4.517308646,0.0,0.0007052310000000001,9.497500594,0.0,0.0
652,34.80611459,11.163719699999998,7.5869960579999995,4.492877957,0.0,0.000540086,7.45069147,0.0,0.0
655,48.13088334,7.742997955,6.29618855,4.561618468,0.0,0.00041216699999999996,6.0856854689999995,0.0,0.0
658,60.03564504,5.007490064,5.324424937,4.591596247,0.0,0.000313445,4.720679467,0.0,0.0
661,65.64670663,3.158794972,4.6179773939999995,4.535771135,0.0,0.000237536,3.355673465,0.0,0.0
664,62.05666448,2.020658366,4.141466718,4.384617113,0.0,0.000179381,1.9906674640000002,0.0,0.0
667,50.55859947,1.327228881,3.850625028,4.144556002,0.0,0.00013499,1.0984788559999998,0.0,0.0
670,35.73574166,0.882433562,3.685828173,3.829947452,0.0,0.000101229,0.838213751,0.0,0.0
673,22.31129969,0.580676349,3.578218831,3.459672893,0.0,7.56e-05,0.577948647,0.0,0.0
676,12.70879077,0.37196761100000003,3.461646497,3.054789131,0.0,5.629999999999999e-05,0.317683542,0.0,0.0
679,6.911982158,0.229985071,3.2852672789999997,2.636430389,0.0,4.18e-05,0.057418437999999995,0.0,0.0
682,3.7534822180000003,0.136781471,3.022607264,2.223976971,0.0,3.09e-05,0.0,0.0,0.0
685,2.0776121080000003,0.078161266,2.67428767,1.833650935,0.0,2.2800000000000002e-05,0.0,0.0,0.0
688,1.1596675379999999,0.042899714000000005,2.2638088,1.4776493819999998,0.0,1.67e-05,0.0,0.0,0.0
691,0.636907338,0.02261444,1.828169049,1.163837324,0.0,1.22e-05,0.0,0.0,0.0
