"lambs, usual",usual,"lambs, direct full",direct full,"lambs, blue sky",blue sky,"lambs, clouded",clouded
400,0.875116063,400,28.26282609,400,56.77352505,400,40.60370341
406.7161869,0.928221397,405.5666076,44.00307235,402.1893664,69.7501484,404.6283077,56.76969525
415.6994738,0.825853709,413.027049,57.18927062,406.0606512,79.3218709,415.3862029,70.80461873
424.0560198,1.00969772,418.4066349,63.99396594,411.4364073,87.40316469,418.9766361,73.99356169
436.7920149,1.193593315,422.5977077,66.96971696,415.9210977,92.50636703,421.9747276,74.62973325
449.7446611,1.278551532,425.5970757,67.1803557,418.9217424,92.29147296,425.8836721,71.64823755
462.7978954,1.317574538,429.5021904,65.47545846,421.9274935,90.37444761,430.0970853,67.17716421
478.2884556,1.243552048,434.9149679,61.21630046,424.9402658,86.11699174,431.3002794,66.11248109
480.3389044,1.307180439,440.5990226,66.53141815,428.5543161,81.43357752,433.0990066,66.53673731
495.6205509,1.328561849,446.274141,74.82526559,431.263258,78.45293288,437.2849729,71.21461961
504.5574126,1.247395027,452.8390486,86.52273728,433.065815,77.60059064,443.8543486,81.42272643
517.5177963,1.328819767,462.10843,96.72892921,436.6562482,80.78953359,450.1262769,90.77998038
539.3840916,1.343211596,466.5988651,99.91723387,440.2422133,85.46784142,456.1116087,95.66935249
570.1330857,1.301170948,471.4039817,98.21169832,443.5313692,89.08252996,461.502684,98.64425243
574.6131229,1.255287321,477.1027172,98.63318858,447.7122292,95.46254354,464.5007755,99.280424
592.0303312,1.301428866,483.9976255,100.3304262,451.9058551,97.58722891,468.4052519,97.78829317
611.8616527,1.245125348,487.2982708,100.1153194,458.4988479,99.92297856,471.4103647,96.08403422
622.7251625,1.284122563,490.9084913,96.70850364,463.3001347,99.49404148,477.4078243,96.93084453
638.277623,1.18183225,492.1104087,96.06935334,468.1129109,95.23530901,482.5084734,96.71446109
651.2457444,1.259723512,498.9874447,103.7240505,473.8269656,90.55040543,485.5129479,95.22296856
666.6047663,1.245770143,502.8868147,103.9340509,480.7352782,87.77954847,488.2193366,93.09338956
675.8279171,1.033864645,509.7817229,105.6312886,486.7486952,83.30719853,490.6225332,92.02785538
700,1.161353554,516.0779065,106.9034189,490.3576391,80.32591559,494.2129664,95.21679833
,,520.2849368,104.5600097,496.353822,81.59825872,496.6027587,98.61935876
,,523.2900496,102.8557508,499.6525525,82.02145111,501.1027683,98.61616727
,,535.2722027,108.8046996,503.2589431,79.89123381,509.8021485,98.82276345
,,538.267741,110.2919368,507.7646974,77.97314462,512.2034302,98.3955285
,,545.7760548,107.5206543,512.2698133,76.26782185,516.1072683,97.11616408
,,553.8677742,110.2808729,518.5806778,72.64632478,518.8130188,95.19935149
,,561.6741738,108.1476769,521.2870666,70.51674578,520.3162134,94.13445561
,,569.162062,112.1849195,532.9858149,70.93398071,522.1181322,93.49487978
,,575.1684578,110.0530001,543.201794,65.6075864,528.1085704,96.6821206
,,583.2582623,113.451518,548.9043594,64.7524782,532.0041106,98.16871951
,,586.8550784,114.5127968,551.9075573,63.68651848,535.0028404,98.59212466
,,589.2563601,114.0855619,556.1139492,61.55587565,537.1041215,98.16510248
,,591.3595561,113.0202405,563.916519,60.69927808,540.4066817,97.31169641
,,594.9678616,110.2517239,566.6197162,59.63353114,543.7098802,96.24552393
,,596.4710563,109.1868281,570.2292984,56.43948179,547.009249,96.45594991
,,608.1595918,113.0083255,574.7324994,55.37245824,550.0073404,97.09212147
,,612.0621533,112.1544939,582.5363458,54.09032785,553.3118156,95.60041617
,,618.3749327,107.8946976,585.8382677,53.44968819,556.6124609,95.38530933
,,625.5660118,110.868321,589.1446578,51.31968366,559.31119,95.80892725
,,630.0724044,108.7374654,591.854238,48.12627261,561.7086419,96.65829076
,,634.8756061,107.6702291,594.2574346,47.06073843,565.0067341,97.29424956
,,638.1717833,108.9444871,602.6536227,48.33137943,567.7080164,96.86680184
,,643.2641346,111.494067,606.5517161,48.9669127,569.8112124,95.80148043
,,647.1666961,110.6402354,608.6568269,47.26329205,571.9124934,95.37445824
,,652.2686218,109.9983191,613.1625812,45.34520286,580.0048511,97.92191047
,,656.1692684,109.7827868,616.4645031,44.7045632,589.0131681,95.14956415
,,661.2743857,108.0770385,619.1657855,44.27711548,593.2208366,92.5933885
,,663.6718376,108.926402,623.6664333,44.06115758,596.2214813,92.37849442
,,668.7603591,112.7525803,626.6728227,41.93136581,602.5176649,93.65062479
,,674.4571797,113.8123698,628.476018,40.86625716,604.3151156,94.50041383
,,679.2559133,114.2344984,637.4760372,40.85987417,606.4163966,94.07339165
,,683.4629435,111.8910891,640.474767,41.28327933,613.0253469,91.08998104
,,687.0718874,108.9098062,642.5779629,40.21795791,615.7298207,89.59870127
,,690.6821078,105.5029904,661.4888542,36.58752465,617.8266337,90.66104396
,,693.3929647,101.8840466,652.7888357,36.59369488,620.5228096,91.93572752
,,695.1955217,101.0317043,657.8901232,36.16454503,623.5240926,91.50806704
,,697.8910593,102.5191543,671.9869617,37.21837706,627.7317611,88.95189139
,,700,103.3691561,676.7876102,37.00220639,630.4355967,87.67337803
